"CustomerID","Recency_capped","Frequency_capped","Monetary_capped","Cluster_Id","Segment"
12423,2,8,1634.31,2,"Active Customers"
12424,163,2,1760.96,1,"Dormant"
12425,79,1,777.2,2,"Active Customers"
12426,195,1,510.73,1,"Dormant"
12427,22,3,699.8,2,"Active Customers"
12428,26,8,6405.26,2,"Active Customers"
12429,10,4,3388.4,2,"Active Customers"
12430,44,1,216.4,2,"Active Customers"
12431,36,15,6382.45,3,"VIP Customers"
12432,43,4,4359.32,2,"Active Customers"
12433,2,7,13375.87,3,"VIP Customers"
12434,85,2,806.14,2,"Active Customers"
12435,80,2,7829.89,2,"Active Customers"
12436,100,1,429.01,2,"Active Customers"
12437,2,18,4447.41,3,"VIP Customers"
12438,15,2,2466.85,2,"Active Customers"
12441,367,1,155.55,1,"Dormant"
12442,4,1,144.06,2,"Active Customers"
12444,22,5,4085.46,2,"Active Customers"
12445,23,1,77.4,2,"Active Customers"
12446,58,1,1002.31,2,"Active Customers"
12447,244,1,431.49,1,"Dormant"
12448,45,1,365.45,2,"Active Customers"
12449,23,4,3596.29,2,"Active Customers"
12450,157,2,197.88,1,"Dormant"
12451,11,5,8995.52,3,"VIP Customers"
12452,17,1,348.57,2,"Active Customers"
12453,135,1,707.09,2,"Active Customers"
12454,57,1,3528.34,2,"Active Customers"
12455,74,5,2339.86,2,"Active Customers"
12456,45,3,2581.04,2,"Active Customers"
12457,67,6,2043.23,2,"Active Customers"
12458,72,2,787.4,2,"Active Customers"
12461,155,1,626.88,1,"Dormant"
12462,19,2,937.59,2,"Active Customers"
12463,54,4,1200.78,2,"Active Customers"
12464,11,8,957.05,2,"Active Customers"
12465,18,2,682.19,2,"Active Customers"
12468,188,2,657.54,1,"Dormant"
12471,3,27,17424.05,3,"VIP Customers"
12472,33,7,6068.11,2,"Active Customers"
12473,54,3,2596.23,2,"Active Customers"
12474,18,18,6745.79,3,"VIP Customers"
12475,54,1,669.38,2,"Active Customers"
12476,16,11,5898.42,3,"VIP Customers"
12477,23,6,13219.74,3,"VIP Customers"
12478,4,1,545.99,2,"Active Customers"
12479,12,1,473.2,2,"Active Customers"
12480,29,4,2885.63,2,"Active Customers"
12481,23,10,5020.32,2,"Active Customers"
12483,18,8,1910.98,2,"Active Customers"
12484,36,4,3953.72,2,"Active Customers"
12488,10,3,1244.66,2,"Active Customers"
12489,337,1,298.93,1,"Dormant"
12490,6,10,4859.93,2,"Active Customers"
12491,39,1,424.4,2,"Active Customers"
12492,64,2,227.21,2,"Active Customers"
12493,166,2,379.74,1,"Dormant"
12494,16,7,1084.1,2,"Active Customers"
12497,82,1,953.1,2,"Active Customers"
12498,22,3,349.7,2,"Active Customers"
12500,24,11,4059.82,2,"Active Customers"
12501,337,1,2025.39,1,"Dormant"
12502,96,5,2995.87,2,"Active Customers"
12504,19,2,428.05,2,"Active Customers"
12506,233,1,73.5,1,"Dormant"
12507,135,3,1052.81,2,"Active Customers"
12508,27,2,398.27,2,"Active Customers"
12509,285,1,158.5,1,"Dormant"
12510,143,2,814.57,1,"Dormant"
12512,67,2,138.03,2,"Active Customers"
12513,113,1,558.29,2,"Active Customers"
12514,268,1,1017.68,1,"Dormant"
12515,354,1,278.7,1,"Dormant"
12516,78,2,1186.06,2,"Active Customers"
12517,29,4,2322.84,2,"Active Customers"
12518,2,5,1840.89,2,"Active Customers"
12519,64,1,286.84,2,"Active Customers"
12520,80,5,2346.26,2,"Active Customers"
12521,143,1,545.68,1,"Dormant"
12522,40,2,156.72,2,"Active Customers"
12523,20,11,1699.77,2,"Active Customers"
12524,10,8,3945.72,2,"Active Customers"
12526,2,3,1172.66,2,"Active Customers"
12527,82,3,330.71,2,"Active Customers"
12528,10,6,1645.48,2,"Active Customers"
12530,60,4,1500.28,2,"Active Customers"
12531,15,1,125.22,2,"Active Customers"
12532,31,1,313.83,2,"Active Customers"
12534,131,1,981.18,2,"Active Customers"
12535,92,2,716.35,2,"Active Customers"
12536,60,1,4279.71,2,"Active Customers"
12538,30,1,363.95,2,"Active Customers"
12539,23,4,5568.35,2,"Active Customers"
12540,20,17,11580.24,3,"VIP Customers"
12541,30,3,841.18,2,"Active Customers"
12544,37,1,316.7,2,"Active Customers"
12545,76,2,832.39,2,"Active Customers"
12546,47,2,1021.5,2,"Active Customers"
12547,198,2,151.8,1,"Dormant"
12548,167,1,67.2,1,"Dormant"
12550,80,1,824.83,2,"Active Customers"
12551,358,1,168,1,"Dormant"
12552,40,1,317.82,2,"Active Customers"
12553,9,10,3278.28,2,"Active Customers"
12556,51,2,603.71,2,"Active Customers"
12557,17,5,11990.96,3,"VIP Customers"
12558,8,1,269.96,2,"Active Customers"
12559,311,2,525.71,1,"Dormant"
12560,6,2,1918.01,2,"Active Customers"
12561,303,1,238.85,1,"Dormant"
12562,9,7,3385.74,2,"Active Customers"
12564,262,1,402.9,1,"Dormant"
12565,289,1,145.92,1,"Dormant"
12566,87,1,297.65,2,"Active Customers"
12567,23,10,8609.28,3,"VIP Customers"
12569,3,30,3152.69,3,"VIP Customers"
12571,40,2,519.61,2,"Active Customers"
12572,9,2,912.42,2,"Active Customers"
12573,228,1,160.54,1,"Dormant"
12574,316,1,182.45,1,"Dormant"
12576,36,5,1315.83,2,"Active Customers"
12577,36,3,653.85,2,"Active Customers"
12578,22,2,2402.51,2,"Active Customers"
12579,79,1,386.42,2,"Active Customers"
12580,247,1,379.7,1,"Dormant"
12581,40,1,179.71,2,"Active Customers"
12582,239,2,351.36,1,"Dormant"
12583,3,15,6705.38,3,"VIP Customers"
12584,4,9,2254.15,2,"Active Customers"
12585,235,2,1824.1,1,"Dormant"
12586,18,1,196.94,2,"Active Customers"
12587,8,1,104,2,"Active Customers"
12588,40,1,174.9,2,"Active Customers"
12589,29,2,574.68,2,"Active Customers"
12590,212,1,9341.26,1,"Dormant"
12591,318,1,368.85,1,"Dormant"
12592,93,2,401.6,2,"Active Customers"
12593,109,3,382.1,2,"Active Customers"
12594,38,9,3208.22,2,"Active Customers"
12596,52,2,450.27,2,"Active Customers"
12597,20,4,3195.22,2,"Active Customers"
12598,10,7,2807.08,2,"Active Customers"
12599,30,7,888.58,2,"Active Customers"
12600,29,10,2311.04,2,"Active Customers"
12601,190,5,487.06,1,"Dormant"
12602,59,1,153.12,2,"Active Customers"
12603,22,1,613.2,2,"Active Customers"
12604,80,2,236.18,2,"Active Customers"
12607,61,1,1579.51,2,"Active Customers"
12609,79,3,964.85,2,"Active Customers"
12610,23,4,1747.54,2,"Active Customers"
12611,53,1,1193.32,2,"Active Customers"
12612,75,1,668.04,2,"Active Customers"
12613,58,4,3092.38,2,"Active Customers"
12614,278,1,315.6,1,"Dormant"
12615,3,4,2093.19,2,"Active Customers"
12616,96,2,641.3,2,"Active Customers"
12617,30,1,355.53,2,"Active Customers"
12618,22,1,137.31,2,"Active Customers"
12619,17,8,2945.56,2,"Active Customers"
12620,15,3,1303.41,2,"Active Customers"
12621,2,20,12411.67,3,"VIP Customers"
12622,233,1,162.1,1,"Dormant"
12623,277,1,269.1,1,"Dormant"
12624,107,2,569.13,2,"Active Customers"
12625,212,2,2413.82,1,"Dormant"
12626,24,9,5954.48,2,"Active Customers"
12627,11,6,4082.53,2,"Active Customers"
12628,5,3,732.46,2,"Active Customers"
12630,10,2,1030.88,2,"Active Customers"
12631,58,1,480.5,2,"Active Customers"
12633,59,4,1929.98,2,"Active Customers"
12635,90,2,1509.18,2,"Active Customers"
12637,68,8,5823.9,2,"Active Customers"
12638,34,1,511.69,2,"Active Customers"
12639,239,1,366.1,1,"Dormant"
12640,24,3,994.58,2,"Active Customers"
12641,116,1,145.9,2,"Active Customers"
12642,26,3,905.26,2,"Active Customers"
12643,129,6,3041.64,2,"Active Customers"
12644,130,1,477.91,2,"Active Customers"
12645,34,4,1631.18,2,"Active Customers"
12646,5,2,1346.97,2,"Active Customers"
12647,23,12,3146.82,2,"Active Customers"
12648,155,1,300.05,1,"Dormant"
12649,108,3,569.51,2,"Active Customers"
12650,4,1,242.44,2,"Active Customers"
12651,335,1,114,1,"Dormant"
12652,332,1,793.98,1,"Dormant"
12653,149,2,2209.85,2,"Active Customers"
12654,11,5,529.98,2,"Active Customers"
12656,18,5,3619.17,2,"Active Customers"
12657,12,4,1427.18,2,"Active Customers"
12658,19,1,632.05,2,"Active Customers"
12659,30,1,73.68,2,"Active Customers"
12660,12,1,227.1,2,"Active Customers"
12662,2,11,3543.78,2,"Active Customers"
12664,9,9,4391.88,2,"Active Customers"
12665,325,1,52.2,1,"Dormant"
12667,59,1,460.13,2,"Active Customers"
12668,12,4,3177.15,2,"Active Customers"
12669,151,2,1427.73,1,"Dormant"
12670,11,5,2744.05,2,"Active Customers"
12672,330,1,225.9,1,"Dormant"
12673,6,2,574.52,2,"Active Customers"
12674,39,4,1844.6,2,"Active Customers"
12676,25,6,1091.39,2,"Active Customers"
12678,43,9,16331.46,3,"VIP Customers"
12679,59,4,951.02,2,"Active Customers"
12680,2,4,790.81,2,"Active Customers"
12681,15,22,12365.54,3,"VIP Customers"
12682,4,30,11028.22,3,"VIP Customers"
12683,5,14,7612.57,3,"VIP Customers"
12684,8,6,2073.63,2,"Active Customers"
12685,29,6,2575.08,2,"Active Customers"
12686,369,1,71.14,1,"Dormant"
12688,114,1,4873.81,2,"Active Customers"
12689,26,2,1139.61,2,"Active Customers"
12690,206,1,335.01,1,"Dormant"
12691,29,5,927.8,2,"Active Customers"
12693,128,4,711.91,2,"Active Customers"
12694,71,2,761.67,2,"Active Customers"
12695,8,4,582.1,2,"Active Customers"
12697,29,3,757.59,2,"Active Customers"
12700,8,4,4525.99,2,"Active Customers"
12701,80,2,725.71,2,"Active Customers"
12702,20,1,201,2,"Active Customers"
12703,72,1,265.55,2,"Active Customers"
12704,8,8,1740.84,2,"Active Customers"
12705,16,8,6382.29,2,"Active Customers"
12707,292,1,603.42,1,"Dormant"
12708,30,10,2442.91,2,"Active Customers"
12709,16,15,9430.52,3,"VIP Customers"
12710,97,3,1023.02,2,"Active Customers"
12712,29,13,3928.13,2,"Active Customers"
12713,2,1,794.55,2,"Active Customers"
12714,10,5,4294.86,2,"Active Customers"
12715,107,1,273.86,2,"Active Customers"
12716,4,2,963.49,2,"Active Customers"
12717,152,2,830.98,1,"Dormant"
12718,72,1,202.25,2,"Active Customers"
12719,6,2,572.95,2,"Active Customers"
12720,3,25,5115.73,3,"VIP Customers"
12721,32,6,2386.13,2,"Active Customers"
12722,86,4,979.63,2,"Active Customers"
12723,4,5,707.07,2,"Active Customers"
12724,6,4,923.41,2,"Active Customers"
12725,369,1,371.8,1,"Dormant"
12726,29,7,2411.1,2,"Active Customers"
12727,11,7,3440.7,2,"Active Customers"
12728,72,4,728.33,2,"Active Customers"
12729,114,1,417.01,2,"Active Customers"
12731,24,12,18715.313,3,"VIP Customers"
12732,180,1,218.26,1,"Dormant"
12733,235,1,383.95,1,"Dormant"
12734,353,1,110.4,1,"Dormant"
12735,316,2,689.57,1,"Dormant"
12736,333,1,144,1,"Dormant"
12738,369,1,137.35,1,"Dormant"
12739,100,1,975.54,2,"Active Customers"
12740,64,1,427.6,2,"Active Customers"
12743,135,2,546.43,2,"Active Customers"
12744,57,4,9120.39,2,"Active Customers"
12747,3,11,4196.01,2,"Active Customers"
12748,2,30,18715.313,3,"VIP Customers"
12749,4,5,4040.88,2,"Active Customers"
12750,129,1,275.88,2,"Active Customers"
12752,82,1,4366.78,2,"Active Customers"
12753,23,6,18715.313,3,"VIP Customers"
12754,236,3,3010.74,1,"Dormant"
12755,281,2,3811.95,1,"Dormant"
12756,87,1,112.08,2,"Active Customers"
12757,16,9,4199.2,2,"Active Customers"
12758,117,2,2791.59,2,"Active Customers"
12759,53,3,1411.44,2,"Active Customers"
12762,8,2,1702.52,2,"Active Customers"
12763,139,2,494.08,2,"Active Customers"
12764,317,1,1693.88,1,"Dormant"
12766,4,7,6457.63,2,"Active Customers"
12769,239,1,1143.6,1,"Dormant"
12770,211,1,1351.45,1,"Dormant"
12772,60,1,752.47,2,"Active Customers"
12775,18,5,1281.04,2,"Active Customers"
12778,20,6,693.23,2,"Active Customers"
12779,38,8,3981.36,2,"Active Customers"
12781,64,2,786.74,2,"Active Customers"
12782,5,5,1938.92,2,"Active Customers"
12783,3,4,1295.87,2,"Active Customers"
12784,16,1,518.42,2,"Active Customers"
12785,365,1,255.95,1,"Dormant"
12787,10,3,418.66,2,"Active Customers"
12789,66,1,76.85,2,"Active Customers"
12790,193,1,294.92,1,"Dormant"
12791,369,1,177.6,1,"Dormant"
12792,257,1,344.54,1,"Dormant"
12793,335,2,461.48,1,"Dormant"
12794,54,2,860.41,2,"Active Customers"
12795,19,1,318.48,2,"Active Customers"
12797,366,1,226.03,1,"Dormant"
12798,11,3,6977.04,2,"Active Customers"
12802,187,1,397.58,1,"Dormant"
12808,37,3,455.65,2,"Active Customers"
12809,178,1,405.31,1,"Dormant"
12811,262,2,458.85,1,"Dormant"
12812,45,1,229.64,2,"Active Customers"
12814,102,1,85.92,2,"Active Customers"
12815,148,2,863.46,1,"Dormant"
12816,96,2,452.2,2,"Active Customers"
12817,282,1,126.04,1,"Dormant"
12818,262,1,1182.08,1,"Dormant"
12820,4,4,942.34,2,"Active Customers"
12821,215,1,92.72,1,"Dormant"
12822,71,2,948.88,2,"Active Customers"
12823,75,5,1759.5,2,"Active Customers"
12824,60,1,397.12,2,"Active Customers"
12826,3,7,1474.72,2,"Active Customers"
12827,6,3,430.15,2,"Active Customers"
12828,3,6,1018.71,2,"Active Customers"
12829,337,2,293,1,"Dormant"
12830,38,6,6814.64,2,"Active Customers"
12831,263,1,215.05,1,"Dormant"
12832,33,2,383.03,2,"Active Customers"
12833,146,1,417.38,1,"Dormant"
12834,283,1,312.38,1,"Dormant"
12836,60,4,2612.86,2,"Active Customers"
12837,174,1,134.1,1,"Dormant"
12838,34,2,683.13,2,"Active Customers"
12839,3,14,5591.42,3,"VIP Customers"
12840,144,4,2726.77,2,"Active Customers"
12841,5,25,4022.35,3,"VIP Customers"
12842,71,2,1118.99,2,"Active Customers"
12843,66,8,1702.26,2,"Active Customers"
12844,30,2,325.96,2,"Active Customers"
12845,268,4,354.09,1,"Dormant"
12847,23,1,871.54,2,"Active Customers"
12849,32,2,1033.25,2,"Active Customers"
12851,97,1,135.18,2,"Active Customers"
12852,295,1,311.55,1,"Dormant"
12853,135,6,1957.1,2,"Active Customers"
12854,79,3,1324.5,2,"Active Customers"
12855,369,1,52.2,1,"Dormant"
12856,8,6,2179.93,2,"Active Customers"
12857,211,2,1106.4,1,"Dormant"
12863,53,1,521.2,2,"Active Customers"
12864,139,1,147.12,1,"Dormant"
12865,27,2,1568.23,2,"Active Customers"
12866,284,1,499.12,1,"Dormant"
12867,27,7,4036.82,2,"Active Customers"
12868,186,6,1607.06,1,"Dormant"
12871,85,2,380.64,2,"Active Customers"
12872,327,2,599.97,1,"Dormant"
12873,283,1,374,1,"Dormant"
12875,144,2,343.23,1,"Dormant"
12876,58,2,2053.02,2,"Active Customers"
12877,4,12,1535.77,2,"Active Customers"
12878,237,2,854.99,1,"Dormant"
12879,45,3,573.22,2,"Active Customers"
12881,276,1,298,1,"Dormant"
12882,10,2,1463.04,2,"Active Customers"
12883,25,4,703.47,2,"Active Customers"
12884,89,1,309.05,2,"Active Customers"
12885,64,3,1175.22,2,"Active Customers"
12886,68,2,1378.4,2,"Active Customers"
12888,215,2,354.12,1,"Dormant"
12890,25,1,380.47,2,"Active Customers"
12891,186,3,331,1,"Dormant"
12893,31,1,188.14,2,"Active Customers"
12895,43,2,372.8,2,"Active Customers"
12897,205,2,216.5,1,"Dormant"
12901,9,28,17654.54,3,"VIP Customers"
12902,265,1,138.68,1,"Dormant"
12904,19,2,509.58,2,"Active Customers"
12906,12,5,2919.81,2,"Active Customers"
12908,177,2,750,1,"Dormant"
12909,40,5,2178.67,2,"Active Customers"
12910,24,8,3075.04,2,"Active Customers"
12912,3,5,1662.3,2,"Active Customers"
12913,5,5,2483.63,2,"Active Customers"
12915,149,2,363.65,1,"Dormant"
12916,139,4,3006.15,2,"Active Customers"
12917,129,1,594,2,"Active Customers"
12919,9,6,1335.19,2,"Active Customers"
12920,18,1,164.23,2,"Active Customers"
12921,10,30,16587.09,3,"VIP Customers"
12922,162,1,405.38,1,"Dormant"
12923,65,1,175.72,2,"Active Customers"
12924,89,4,925.75,2,"Active Customers"
12925,5,2,694.05,2,"Active Customers"
12928,36,5,2062.7,2,"Active Customers"
12929,312,1,117.85,1,"Dormant"
12930,79,2,415.8,2,"Active Customers"
12931,22,15,18715.313,3,"VIP Customers"
12933,25,3,607.53,2,"Active Customers"
12935,3,7,2160.7,2,"Active Customers"
12936,18,4,1063.9,2,"Active Customers"
12937,16,4,1504.27,2,"Active Customers"
12938,26,1,114.14,2,"Active Customers"
12939,65,8,11581.8,3,"VIP Customers"
12940,55,2,913.54,2,"Active Customers"
12942,132,3,683.9,2,"Active Customers"
12944,36,2,604.51,2,"Active Customers"
12945,289,1,462.95,1,"Dormant"
12947,144,6,1603.99,2,"Active Customers"
12948,17,7,2064.95,2,"Active Customers"
12949,31,8,4167.22,2,"Active Customers"
12950,3,3,1843,2,"Active Customers"
12951,9,6,1064.07,2,"Active Customers"
12952,6,4,1387.79,2,"Active Customers"
12953,10,1,329.85,2,"Active Customers"
12955,2,11,4757.16,2,"Active Customers"
12956,307,1,108.07,1,"Dormant"
12957,10,8,4017.54,2,"Active Customers"
12962,8,2,266.39,2,"Active Customers"
12963,9,8,1856.63,2,"Active Customers"
12965,90,1,771.91,2,"Active Customers"
12966,10,1,160.18,2,"Active Customers"
12967,359,2,1660.9,1,"Dormant"
12968,113,1,135.95,2,"Active Customers"
12970,8,4,452.24,2,"Active Customers"
12971,4,30,11189.91,3,"VIP Customers"
12974,198,1,144.8,1,"Dormant"
12976,212,1,738.6,1,"Dormant"
12977,157,1,52.2,1,"Dormant"
12980,158,9,7374.9,3,"VIP Customers"
12981,30,2,372.22,2,"Active Customers"
12982,243,1,390.54,1,"Dormant"
12984,19,1,97.5,2,"Active Customers"
12985,2,2,1239.38,2,"Active Customers"
12987,74,2,558.7,2,"Active Customers"
12988,293,1,535.32,1,"Dormant"
12989,4,15,6924.11,3,"VIP Customers"
12990,32,3,409.5,2,"Active Customers"
12991,24,2,503.76,2,"Active Customers"
12993,24,4,414.76,2,"Active Customers"
12994,5,3,974.42,2,"Active Customers"
12995,86,1,211.32,2,"Active Customers"
12997,23,4,1226.89,2,"Active Customers"
12999,197,3,455.88,1,"Dormant"
13000,107,3,534.85,2,"Active Customers"
13001,5,13,9818.82,3,"VIP Customers"
13002,319,1,120.95,1,"Dormant"
13003,106,3,149.05,2,"Active Customers"
13004,12,18,5655.91,3,"VIP Customers"
13005,174,2,513.7,1,"Dormant"
13006,57,1,81.57,2,"Active Customers"
13008,324,1,229.47,1,"Dormant"
13011,369,1,52.2,1,"Dormant"
13012,10,8,1661.84,2,"Active Customers"
13013,2,13,4810.94,3,"VIP Customers"
13014,11,10,3466.28,2,"Active Customers"
13015,54,5,3346.28,2,"Active Customers"
13016,74,3,789.89,2,"Active Customers"
13017,8,1,204,2,"Active Customers"
13018,17,28,7277.7,3,"VIP Customers"
13021,5,9,2616.38,2,"Active Customers"
13023,65,2,599.9,2,"Active Customers"
13026,2,5,975.36,2,"Active Customers"
13027,114,6,6912,2,"Active Customers"
13028,23,2,661.32,2,"Active Customers"
13029,31,3,1247.5,2,"Active Customers"
13030,12,2,799.48,2,"Active Customers"
13032,53,2,1010.18,2,"Active Customers"
13033,358,1,190.55,1,"Dormant"
13034,55,2,642.77,2,"Active Customers"
13035,74,2,921.88,2,"Active Customers"
13037,139,3,881.07,2,"Active Customers"
13038,81,3,908.46,2,"Active Customers"
13040,9,2,676.99,2,"Active Customers"
13043,274,1,516.42,1,"Dormant"
13044,292,1,560.47,1,"Dormant"
13045,100,1,305.28,2,"Active Customers"
13046,31,2,629.31,2,"Active Customers"
13047,57,9,3232.59,2,"Active Customers"
13048,15,4,1835.91,2,"Active Customers"
13049,65,2,656.68,2,"Active Customers"
13050,15,17,5833.11,3,"VIP Customers"
13052,213,1,348.15,1,"Dormant"
13055,79,3,1214.41,2,"Active Customers"
13058,25,3,271.4,2,"Active Customers"
13059,250,1,183.4,1,"Dormant"
13060,254,1,307.53,1,"Dormant"
13061,73,1,248.61,2,"Active Customers"
13062,192,1,346.98,1,"Dormant"
13064,13,4,1119.49,2,"Active Customers"
13065,369,1,205.86,1,"Dormant"
13066,25,2,470.8,2,"Active Customers"
13067,83,1,115.46,2,"Active Customers"
13068,11,2,344,2,"Active Customers"
13069,2,24,4436.12,3,"VIP Customers"
13070,193,1,228.8,1,"Dormant"
13072,267,1,177.15,1,"Dormant"
13075,130,1,919.61,2,"Active Customers"
13077,2,4,729.27,2,"Active Customers"
13078,4,26,12627.94,3,"VIP Customers"
13079,5,5,220.1,2,"Active Customers"
13080,180,1,58.08,1,"Dormant"
13081,12,11,18715.313,3,"VIP Customers"
13082,127,9,3613.63,2,"Active Customers"
13083,5,2,303.75,2,"Active Customers"
13085,158,2,416.08,1,"Dormant"
13089,3,30,18715.313,3,"VIP Customers"
13090,9,13,8895.82,3,"VIP Customers"
13091,29,1,345.82,2,"Active Customers"
13092,71,5,477.83,2,"Active Customers"
13093,276,8,7832.47,1,"Dormant"
13094,22,12,1927.32,2,"Active Customers"
13095,71,1,74.4,2,"Active Customers"
13097,33,10,6010.42,2,"Active Customers"
13098,2,28,18715.313,3,"VIP Customers"
13099,100,1,207.36,2,"Active Customers"
13101,235,1,101.19,1,"Dormant"
13102,2,24,6424.09,3,"VIP Customers"
13103,40,1,243.94,2,"Active Customers"
13104,4,6,1098.48,2,"Active Customers"
13106,134,1,76.5,2,"Active Customers"
13107,45,4,1531.62,2,"Active Customers"
13108,369,1,350.06,1,"Dormant"
13109,60,2,786.54,2,"Active Customers"
13110,32,7,1488.67,2,"Active Customers"
13113,2,24,12245.96,3,"VIP Customers"
13115,12,4,2294.78,2,"Active Customers"
13116,139,1,501.14,1,"Dormant"
13117,22,8,984.91,2,"Active Customers"
13118,20,5,1197.81,2,"Active Customers"
13120,239,1,52.2,1,"Dormant"
13121,270,1,283.73,1,"Dormant"
13122,95,2,922.39,2,"Active Customers"
13124,90,3,3866.33,2,"Active Customers"
13126,5,8,2099.64,2,"Active Customers"
13127,78,1,259.17,2,"Active Customers"
13130,95,1,64,2,"Active Customers"
13131,24,3,1073.3,2,"Active Customers"
13132,262,1,77.3,1,"Dormant"
13133,274,2,109.8,1,"Dormant"
13134,86,4,1793.58,2,"Active Customers"
13135,197,1,3096,1,"Dormant"
13136,57,5,2607.61,2,"Active Customers"
13137,11,8,3650.41,2,"Active Customers"
13138,23,6,962.39,2,"Active Customers"
13139,17,7,5064.94,2,"Active Customers"
13140,109,3,423.72,2,"Active Customers"
13141,85,5,2388.75,2,"Active Customers"
13142,20,1,307.09,2,"Active Customers"
13144,333,1,110.95,1,"Dormant"
13145,40,4,618.52,2,"Active Customers"
13146,27,1,228.91,2,"Active Customers"
13147,11,4,712.8,2,"Active Customers"
13148,30,12,3707.12,2,"Active Customers"
13149,15,4,1676.06,2,"Active Customers"
13151,296,1,1257.87,1,"Dormant"
13153,6,1,486.22,2,"Active Customers"
13155,34,4,971.76,2,"Active Customers"
13157,50,4,1741.22,2,"Active Customers"
13158,95,4,1201.06,2,"Active Customers"
13159,9,4,1437.85,2,"Active Customers"
13160,23,1,91.8,2,"Active Customers"
13161,314,1,112.75,1,"Dormant"
13162,123,4,1688.29,2,"Active Customers"
13165,47,2,1021.48,2,"Active Customers"
13166,284,1,417.2,1,"Dormant"
13167,19,4,779.33,2,"Active Customers"
13168,37,4,1319.19,2,"Active Customers"
13169,64,2,712.88,2,"Active Customers"
13170,27,1,116.01,2,"Active Customers"
13171,22,3,468.41,2,"Active Customers"
13173,5,2,353.65,2,"Active Customers"
13174,17,3,2813.03,2,"Active Customers"
13176,47,1,492.84,2,"Active Customers"
13177,65,1,282.45,2,"Active Customers"
13178,27,11,5725.47,3,"VIP Customers"
13182,46,1,121.18,2,"Active Customers"
13183,8,9,3957.78,2,"Active Customers"
13184,15,10,1700.29,2,"Active Customers"
13185,268,1,71.4,1,"Dormant"
13186,40,3,1575.89,2,"Active Customers"
13187,338,1,236.02,1,"Dormant"
13188,12,1,114.6,2,"Active Customers"
13189,19,2,260.68,2,"Active Customers"
13192,96,2,911.94,2,"Active Customers"
13193,62,1,117.88,2,"Active Customers"
13194,136,1,60.7,1,"Dormant"
13196,12,4,1797.78,2,"Active Customers"
13198,11,6,3401.24,2,"Active Customers"
13199,4,30,9802.12,3,"VIP Customers"
13200,20,4,870.09,2,"Active Customers"
13203,10,4,869.46,2,"Active Customers"
13207,16,2,250.26,2,"Active Customers"
13208,60,5,1199.42,2,"Active Customers"
13209,31,8,5891.61,2,"Active Customers"
13210,94,1,353.48,2,"Active Customers"
13211,11,3,1197.42,2,"Active Customers"
13212,20,3,788.08,2,"Active Customers"
13213,57,5,1520.58,2,"Active Customers"
